DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-10-11;NO2;Hytter og fritidseiendommer;67897;106478
2025-10-11;NO3;Husholdning;545;408179
2025-10-11;NO3;Hytter og fritidseiendommer;608;63002
2025-10-11;NO4;Husholdning;0;245278
2025-10-11;NO4;Hytter og fritidseiendommer;0;44508
2025-10-11;NO5;Husholdning;72953;258599
2025-10-11;NO5;Hytter og fritidseiendommer;24739;49130
2025-10-12;NO1;Husholdning;416897;1116901
2025-10-12;NO1;Hytter og fritidseiendommer;62601;110803
2025-10-12;NO2;Husholdning;322491;630539
2025-10-12;NO2;Hytter og fritidseiendommer;68254;106478
2025-10-12;NO3;Husholdning;548;408179
2025-10-12;NO3;Hytter og fritidseiendommer;614;63002
2025-10-12;NO4;Husholdning;0;245277
2025-10-12;NO4;Hytter og fritidseiendommer;0;44508
2025-10-12;NO5;Husholdning;73704;258601
2025-10-12;NO5;Hytter og fritidseiendommer;24920;49129
2025-10-13;NO1;Husholdning;422813;1116929
2025-10-13;NO1;Hytter og fritidseiendommer;63175;110805
2025-10-13;NO2;Husholdning;326356;630543
2025-10-13;NO2;Hytter og fritidseiendommer;68783;106474
2025-10-13;NO3;Husholdning;549;408200
2025-10-13;NO3;Hytter og fritidseiendommer;621;63004
2025-10-13;NO4;Husholdning;0;245286
2025-10-13;NO4;Hytter og fritidseiendommer;0;44511
2025-10-13;NO5;Husholdning;74799;258616
2025-10-13;NO5;Hytter og fritidseiendommer;25154;49133
2025-10-14;NO1;Husholdning;428919;1116925
2025-10-14;NO1;Hytter og fritidseiendommer;63690;110814
2025-10-14;NO2;Husholdning;330240;630547
2025-10-14;NO2;Hytter og fritidseiendommer;69245;106478
2025-10-14;NO3;Husholdning;556;408171
2025-10-14;NO3;Hytter og fritidseiendommer;629;63003
2025-10-14;NO4;Husholdning;0;245306
2025-10-14;NO4;Hytter og fritidseiendommer;0;44511
2025-10-14;NO5;Husholdning;75661;258619
2025-10-14;NO5;Hytter og fritidseiendommer;25358;49135
2025-10-15;NO1;Husholdning;434969;1116966
2025-10-15;NO1;Hytter og fritidseiendommer;64236;110818
2025-10-15;NO2;Husholdning;334178;630566
2025-10-15;NO2;Hytter og fritidseiendommer;69727;106473
2025-10-15;NO3;Husholdning;563;408207
2025-10-15;NO3;Hytter og fritidseiendommer;631;63002
2025-10-15;NO4;Husholdning;0;245328
2025-10-15;NO4;Hytter og fritidseiendommer;0;44514
2025-10-15;NO5;Husholdning;76768;258629
2025-10-15;NO5;Hytter og fritidseiendommer;25584;49137
2025-10-16;NO1;Husholdning;438927;1117012
2025-10-16;NO1;Hytter og fritidseiendommer;64636;110818
2025-10-16;NO2;Husholdning;336731;630574
2025-10-16;NO2;Hytter og fritidseiendommer;70085;106472
2025-10-16;NO3;Husholdning;573;408253
2025-10-16;NO3;Hytter og fritidseiendommer;642;63004
2025-10-16;NO4;Husholdning;0;245336
