DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-11-21;NO2;Husholdning;390373;631319
2025-11-21;NO2;Hytter og fritidseiendommer;76836;106543
2025-11-21;NO3;Husholdning;3294;408745
2025-11-21;NO3;Hytter og fritidseiendommer;2340;63028
2025-11-21;NO4;Husholdning;0;245383
2025-11-21;NO4;Hytter og fritidseiendommer;0;44614
2025-11-21;NO5;Husholdning;103304;258967
2025-11-21;NO5;Hytter og fritidseiendommer;30368;49244
2025-11-22;NO1;Husholdning;533132;1117986
2025-11-22;NO1;Hytter og fritidseiendommer;72999;110884
2025-11-22;NO2;Husholdning;391507;631325
2025-11-22;NO2;Hytter og fritidseiendommer;76968;106545
2025-11-22;NO3;Husholdning;3421;408741
2025-11-22;NO3;Hytter og fritidseiendommer;2398;63029
2025-11-22;NO4;Husholdning;0;245381
2025-11-22;NO4;Hytter og fritidseiendommer;0;44615
2025-11-22;NO5;Husholdning;103963;258963
2025-11-22;NO5;Hytter og fritidseiendommer;30457;49242
2025-11-23;NO1;Husholdning;535157;1118002
2025-11-23;NO1;Hytter og fritidseiendommer;73179;110885
2025-11-23;NO2;Husholdning;392705;631326
2025-11-23;NO2;Hytter og fritidseiendommer;77110;106547
2025-11-23;NO3;Husholdning;3571;408753
2025-11-23;NO3;Hytter og fritidseiendommer;2473;63028
2025-11-23;NO4;Husholdning;0;245375
2025-11-23;NO4;Hytter og fritidseiendommer;0;44615
2025-11-23;NO5;Husholdning;104529;258967
2025-11-23;NO5;Hytter og fritidseiendommer;30546;49241
2025-11-24;NO1;Husholdning;537606;1118048
2025-11-24;NO1;Hytter og fritidseiendommer;73375;110891
2025-11-24;NO2;Husholdning;394273;631373
2025-11-24;NO2;Hytter og fritidseiendommer;77269;106549
2025-11-24;NO3;Husholdning;3686;408778
2025-11-24;NO3;Hytter og fritidseiendommer;2537;63025
2025-11-24;NO4;Husholdning;0;245378
2025-11-24;NO4;Hytter og fritidseiendommer;0;44615
2025-11-24;NO5;Husholdning;105216;258969
2025-11-24;NO5;Hytter og fritidseiendommer;30637;49245
2025-11-25;NO1;Husholdning;540274;1118076
2025-11-25;NO1;Hytter og fritidseiendommer;73587;110893
2025-11-25;NO2;Husholdning;396533;631403
2025-11-25;NO2;Hytter og fritidseiendommer;77458;106548
2025-11-25;NO3;Husholdning;3748;408800
2025-11-25;NO3;Hytter og fritidseiendommer;2576;63022
2025-11-25;NO4;Husholdning;0;245380
2025-11-25;NO4;Hytter og fritidseiendommer;0;44618
2025-11-25;NO5;Husholdning;106190;258972
2025-11-25;NO5;Hytter og fritidseiendommer;30776;49246
2025-11-26;NO1;Husholdning;543229;1118139
2025-11-26;NO1;Hytter og fritidseiendommer;73790;110897
2025-11-26;NO2;Husholdning;398426;631418
2025-11-26;NO2;Hytter og fritidseiendommer;77632;106554
2025-11-26;NO3;Husholdning;3811;408808
2025-11-26;NO3;Hytter og fritidseiendommer;2617;63026
2025-11-26;NO4;Husholdning;0;245385
2025-11-26;NO4;Hytter og fritidseiendommer;0;44622
2025-11-26;NO5;Husholdning;107067;258997
2025-11-26;NO5;Hytter og fritidseiendommer;30906;49248
2025-11-27;NO1;Husholdning;545299;1118177
2025-11-27;NO1;Hytter og fritidseiendommer;73950;110903
2025-11-27;NO2;Husholdning;399708;631456
2025-11-27;NO2;Hytter og fritidseiendommer;77774;106559
2025-11-27;NO3;Husholdning;3861;408821
2025-11-27;NO3;Hytter og fritidseiendommer;2662;63028
2025-11-27;NO4;Husholdning;0;245386
2025-11-27;NO4;Hytter og fritidseiendommer;0;44626
2025-11-27;NO5;Husholdning;107652;259000
2025-11-27;NO5;Hytter og fritidseiendommer;30988;49249
2025-11-28;NO1;Husholdning;546481;1118241
2025-11-28;NO1;Hytter og fritidseiendommer;74042;110907
2025-11-28;NO2;Husholdning;400683;631502
2025-11-28;NO2;Hytter og fritidseiendommer;77876;106565
2025-11-28;NO3;Husholdning;3875;408814
2025-11-28;NO3;Hytter og fritidseiendommer;2682;63044
2025-11-28;NO4;Husholdning;0;245390
2025-11-28;NO4;Hytter og fritidseiendommer;0;44626
2025-11-28;NO5;Husholdning;108021;259003
2025-11-28;NO5;Hytter og fritidseiendommer;31027;49250
2025-11-29;NO1;Husholdning;547611;1118249
2025-11-29;NO1;Hytter og fritidseiendommer;74125;110904
2025-11-29;NO2;Husholdning;401423;631510
2025-11-29;NO2;Hytter og fritidseiendommer;77945;106564
2025-11-29;NO3;Husholdning;3927;408819
2025-11-29;NO3;Hytter og fritidseiendommer;2707;63043
2025-11-29;NO4;Husholdning;0;245391
2025-11-29;NO4;Hytter og fritidseiendommer;0;44626
2025-11-29;NO5;Husholdning;108363;259003
2025-11-29;NO5;Hytter og fritidseiendommer;31081;49250
2025-11-30;NO1;Husholdning;549307;1118254
2025-11-30;NO1;Hytter og fritidseiendommer;74273;110904
2025-11-30;NO2;Husholdning;402355;631505
2025-11-30;NO2;Hytter og fritidseiendommer;78036;106566
2025-11-30;NO3;Husholdning;4049;408824
2025-11-30;NO3;Hytter og fritidseiendommer;2760;63034
2025-11-30;NO4;Husholdning;0;245383
2025-11-30;NO4;Hytter og fritidseiendommer;0;44628
2025-11-30;NO5;Husholdning;108835;259000
2025-11-30;NO5;Hytter og fritidseiendommer;31171;49253
2025-12-01;NO1;Husholdning;551174;1118329
2025-12-01;NO1;Hytter og fritidseiendommer;74425;110910
2025-12-01;NO2;Husholdning;403529;631537
2025-12-01;NO2;Hytter og fritidseiendommer;78151;106573
2025-12-01;NO3;Husholdning;4150;408844
2025-12-01;NO3;Hytter og fritidseiendommer;2802;63042
2025-12-01;NO4;Husholdning;0;245391
2025-12-01;NO4;Hytter og fritidseiendommer;0;44630
2025-12-01;NO5;Husholdning;109403;259024
2025-12-01;NO5;Hytter og fritidseiendommer;31257;49261
2025-12-02;NO1;Husholdning;552747;1118378
2025-12-02;NO1;Hytter og fritidseiendommer;74538;110910
2025-12-02;NO2;Husholdning;404513;631563
2025-12-02;NO2;Hytter og fritidseiendommer;78216;106576
2025-12-02;NO3;Husholdning;4249;408886
2025-12-02;NO3;Hytter og fritidseiendommer;2850;63043
2025-12-02;NO4;Husholdning;0;245391
2025-12-02;NO4;Hytter og fritidseiendommer;0;44631
2025-12-02;NO5;Husholdning;109886;259044
2025-12-02;NO5;Hytter og fritidseiendommer;31342;49262
2025-12-03;NO1;Husholdning;554480;1118400
2025-12-03;NO1;Hytter og fritidseiendommer;74660;110914
2025-12-03;NO2;Husholdning;405376;631597
2025-12-03;NO2;Hytter og fritidseiendommer;78292;106580
2025-12-03;NO3;Husholdning;4427;408861
2025-12-03;NO3;Hytter og fritidseiendommer;2922;63049
2025-12-03;NO4;Husholdning;0;245393
2025-12-03;NO4;Hytter og fritidseiendommer;0;44633
2025-12-03;NO5;Husholdning;110339;259052
2025-12-03;NO5;Hytter og fritidseiendommer;31408;49267
2025-12-04;NO1;Husholdning;556598;1118441
2025-12-04;NO1;Hytter og fritidseiendommer;74779;110915
2025-12-04;NO2;Husholdning;406195;631603
2025-12-04;NO2;Hytter og fritidseiendommer;78375;106580
2025-12-04;NO3;Husholdning;4683;408875
2025-12-04;NO3;Hytter og fritidseiendommer;3043;63045
2025-12-04;NO4;Husholdning;0;245401
2025-12-04;NO4;Hytter og fritidseiendommer;0;44634
2025-12-04;NO5;Husholdning;110714;259068
2025-12-04;NO5;Hytter og fritidseiendommer;31462;49266
2025-12-05;NO1;Husholdning;558387;1118486
2025-12-05;NO1;Hytter og fritidseiendommer;74899;110920
2025-12-05;NO2;Husholdning;407252;631652
2025-12-05;NO2;Hytter og fritidseiendommer;78460;106585
2025-12-05;NO3;Husholdning;4882;408879
2025-12-05;NO3;Hytter og fritidseiendommer;3131;63049
2025-12-05;NO4;Husholdning;0;245404
2025-12-05;NO4;Hytter og fritidseiendommer;0;44634
2025-12-05;NO5;Husholdning;111209;259074
2025-12-05;NO5;Hytter og fritidseiendommer;31528;49266
2025-12-06;NO1;Husholdning;559492;1118497
2025-12-06;NO1;Hytter og fritidseiendommer;74957;110919
2025-12-06;NO2;Husholdning;407862;631652
2025-12-06;NO2;Hytter og fritidseiendommer;78504;106589
2025-12-06;NO3;Husholdning;4940;408887
2025-12-06;NO3;Hytter og fritidseiendommer;3160;63044
2025-12-06;NO4;Husholdning;0;245396
2025-12-06;NO4;Hytter og fritidseiendommer;0;44634
2025-12-06;NO5;Husholdning;111522;259075
2025-12-06;NO5;Hytter og fritidseiendommer;31587;49265
2025-12-07;NO1;Husholdning;560626;1118510
2025-12-07;NO1;Hytter og fritidseiendommer;75051;110916
2025-12-07;NO2;Husholdning;408585;631664
2025-12-07;NO2;Hytter og fritidseiendommer;78555;106586
2025-12-07;NO3;Husholdning;5021;408898
2025-12-07;NO3;Hytter og fritidseiendommer;3192;63041
2025-12-07;NO4;Husholdning;0;245283
2025-12-07;NO4;Hytter og fritidseiendommer;0;44635
2025-12-07;NO5;Husholdning;111879;259082
2025-12-07;NO5;Hytter og fritidseiendommer;31635;49264
2025-12-08;NO1;Husholdning;562478;1118519
2025-12-08;NO1;Hytter og fritidseiendommer;75196;110919
2025-12-08;NO2;Husholdning;409530;631696
2025-12-08;NO2;Hytter og fritidseiendommer;78647;106590
2025-12-08;NO3;Husholdning;5136;408909
2025-12-08;NO3;Hytter og fritidseiendommer;3247;63040
2025-12-08;NO4;Husholdning;0;245277
2025-12-08;NO4;Hytter og fritidseiendommer;0;44637
2025-12-08;NO5;Husholdning;112349;259085
2025-12-08;NO5;Hytter og fritidseiendommer;31719;49264
2025-12-09;NO1;Husholdning;564228;1118535
2025-12-09;NO1;Hytter og fritidseiendommer;75313;110925
2025-12-09;NO2;Husholdning;410525;631718
2025-12-09;NO2;Hytter og fritidseiendommer;78765;106592
2025-12-09;NO3;Husholdning;5268;408911
2025-12-09;NO3;Hytter og fritidseiendommer;3316;63040
2025-12-09;NO4;Husholdning;0;245293
2025-12-09;NO4;Hytter og fritidseiendommer;0;44641
2025-12-09;NO5;Husholdning;112939;259091
2025-12-09;NO5;Hytter og fritidseiendommer;31805;49265
2025-12-10;NO1;Husholdning;565567;1118569
2025-12-10;NO1;Hytter og fritidseiendommer;75392;110927
2025-12-10;NO2;Husholdning;411369;631686
2025-12-10;NO2;Hytter og fritidseiendommer;78836;106586
2025-12-10;NO3;Husholdning;5350;408909
2025-12-10;NO3;Hytter og fritidseiendommer;3345;63042
2025-12-10;NO4;Husholdning;0;245197
2025-12-10;NO4;Hytter og fritidseiendommer;0;44629
2025-12-10;NO5;Husholdning;113399;259058
2025-12-10;NO5;Hytter og fritidseiendommer;31858;49269
2025-12-11;NO1;Husholdning;567105;1118539
2025-12-11;NO1;Hytter og fritidseiendommer;75504;110932
2025-12-11;NO2;Husholdning;412250;631781
2025-12-11;NO2;Hytter og fritidseiendommer;78933;106594
2025-12-11;NO3;Husholdning;5421;408922
2025-12-11;NO3;Hytter og fritidseiendommer;3386;63044
2025-12-11;NO4;Husholdning;0;245269
2025-12-11;NO4;Hytter og fritidseiendommer;0;44640
2025-12-11;NO5;Husholdning;113922;259097
2025-12-11;NO5;Hytter og fritidseiendommer;31927;49272
2025-12-12;NO1;Husholdning;568142;1118569
2025-12-12;NO1;Hytter og fritidseiendommer;75578;110939
2025-12-12;NO2;Husholdning;413005;631801
2025-12-12;NO2;Hytter og fritidseiendommer;79024;106596
2025-12-12;NO3;Husholdning;5477;408942
2025-12-12;NO3;Hytter og fritidseiendommer;3409;63043
2025-12-12;NO4;Husholdning;0;245265
2025-12-12;NO4;Hytter og fritidseiendommer;0;44641
2025-12-12;NO5;Husholdning;114223;259099
2025-12-12;NO5;Hytter og fritidseiendommer;31968;49276
2025-12-13;NO1;Husholdning;568856;1118587
2025-12-13;NO1;Hytter og fritidseiendommer;75626;110937
2025-12-13;NO2;Husholdning;413412;631800
2025-12-13;NO2;Hytter og fritidseiendommer;79079;106597
2025-12-13;NO3;Husholdning;5512;408944
2025-12-13;NO3;Hytter og fritidseiendommer;3418;63043
2025-12-13;NO4;Husholdning;0;245242
2025-12-13;NO4;Hytter og fritidseiendommer;0;44643
2025-12-13;NO5;Husholdning;114404;259101
2025-12-13;NO5;Hytter og fritidseiendommer;32006;49277
2025-12-14;NO1;Husholdning;569732;1118581
2025-12-14;NO1;Hytter og fritidseiendommer;75689;110936
2025-12-14;NO2;Husholdning;413860;631766
2025-12-14;NO2;Hytter og fritidseiendommer;79136;106599
2025-12-14;NO3;Husholdning;5532;407768
2025-12-14;NO3;Hytter og fritidseiendommer;3426;62917
2025-12-14;NO4;Husholdning;0;245245
2025-12-14;NO4;Hytter og fritidseiendommer;0;44643
2025-12-14;NO5;Husholdning;115116;259097
2025-12-14;NO5;Hytter og fritidseiendommer;32091;49275
2025-12-15;NO1;Husholdning;571076;1118615
2025-12-15;NO1;Hytter og fritidseiendommer;75795;110937
2025-12-15;NO2;Husholdning;414635;631787
2025-12-15;NO2;Hytter og fritidseiendommer;79219;106602
2025-12-15;NO3;Husholdning;5593;408951
2025-12-15;NO3;Hytter og fritidseiendommer;3456;63043
2025-12-15;NO4;Husholdning;0;245261
2025-12-15;NO4;Hytter og fritidseiendommer;0;44643
2025-12-15;NO5;Husholdning;115840;259119
2025-12-15;NO5;Hytter og fritidseiendommer;32187;49275
2025-12-16;NO1;Husholdning;572136;1118697
2025-12-16;NO1;Hytter og fritidseiendommer;75863;110935
2025-12-16;NO2;Husholdning;415304;631862
2025-12-16;NO2;Hytter og fritidseiendommer;79294;106599
2025-12-16;NO3;Husholdning;5627;408947
2025-12-16;NO3;Hytter og fritidseiendommer;3467;63006
2025-12-16;NO4;Husholdning;0;245277
2025-12-16;NO4;Hytter og fritidseiendommer;0;44632
2025-12-16;NO5;Husholdning;116432;259151
2025-12-16;NO5;Hytter og fritidseiendommer;32246;49282
2025-12-17;NO1;Husholdning;572971;1118663
2025-12-17;NO1;Hytter og fritidseiendommer;75958;110946
2025-12-17;NO2;Husholdning;415794;631822
2025-12-17;NO2;Hytter og fritidseiendommer;79382;106613
2025-12-17;NO3;Husholdning;5655;408976
2025-12-17;NO3;Hytter og fritidseiendommer;3482;63047
2025-12-17;NO4;Husholdning;0;245268
2025-12-17;NO4;Hytter og fritidseiendommer;0;44644
2025-12-17;NO5;Husholdning;116820;259142
2025-12-17;NO5;Hytter og fritidseiendommer;32294;49275
2025-12-18;NO1;Husholdning;573740;1118701
2025-12-18;NO1;Hytter og fritidseiendommer;76009;110949
2025-12-18;NO2;Husholdning;416281;631850
2025-12-18;NO2;Hytter og fritidseiendommer;79443;106615
2025-12-18;NO3;Husholdning;5672;409006
2025-12-18;NO3;Hytter og fritidseiendommer;3491;63050
2025-12-18;NO4;Husholdning;0;245273
2025-12-18;NO4;Hytter og fritidseiendommer;0;44647
2025-12-18;NO5;Husholdning;117166;259145
2025-12-18;NO5;Hytter og fritidseiendommer;32329;49279
2025-12-19;NO1;Husholdning;574328;1118755
2025-12-19;NO1;Hytter og fritidseiendommer;76065;110955
2025-12-19;NO2;Husholdning;416693;631877
2025-12-19;NO2;Hytter og fritidseiendommer;79494;106620
2025-12-19;NO3;Husholdning;5679;409012
2025-12-19;NO3;Hytter og fritidseiendommer;3499;63047
2025-12-19;NO4;Husholdning;0;245275
2025-12-19;NO4;Hytter og fritidseiendommer;0;44650
2025-12-19;NO5;Husholdning;117394;259148
2025-12-19;NO5;Hytter og fritidseiendommer;32371;49286
2025-12-20;NO1;Husholdning;574793;1118754
2025-12-20;NO1;Hytter og fritidseiendommer;76108;110956
2025-12-20;NO2;Husholdning;416962;631878
2025-12-20;NO2;Hytter og fritidseiendommer;79527;106619
2025-12-20;NO3;Husholdning;5686;409007
2025-12-20;NO3;Hytter og fritidseiendommer;3505;63047
2025-12-20;NO4;Husholdning;0;245277
2025-12-20;NO4;Hytter og fritidseiendommer;0;44650
2025-12-20;NO5;Husholdning;117563;259148
2025-12-20;NO5;Hytter og fritidseiendommer;32389;49286
2025-12-21;NO1;Husholdning;575414;1118755
2025-12-21;NO1;Hytter og fritidseiendommer;76161;110956
2025-12-21;NO2;Husholdning;417332;631876
2025-12-21;NO2;Hytter og fritidseiendommer;79576;106619
2025-12-21;NO3;Husholdning;5717;409006
2025-12-21;NO3;Hytter og fritidseiendommer;3521;63047
2025-12-21;NO4;Husholdning;0;245277
2025-12-21;NO4;Hytter og fritidseiendommer;0;44650
2025-12-21;NO5;Husholdning;117787;259148
2025-12-21;NO5;Hytter og fritidseiendommer;32433;49286
2025-12-22;NO1;Husholdning;576102;1118786
2025-12-22;NO1;Hytter og fritidseiendommer;76228;110957
2025-12-22;NO2;Husholdning;417725;631895
2025-12-22;NO2;Hytter og fritidseiendommer;79622;106623
2025-12-22;NO3;Husholdning;5748;409014
2025-12-22;NO3;Hytter og fritidseiendommer;3545;63047
2025-12-22;NO4;Husholdning;0;245275
2025-12-22;NO4;Hytter og fritidseiendommer;0;44649
2025-12-22;NO5;Husholdning;118078;259151
2025-12-22;NO5;Hytter og fritidseiendommer;32469;49287
2025-12-23;NO1;Husholdning;576631;1118799
2025-12-23;NO1;Hytter og fritidseiendommer;76279;110957
2025-12-23;NO2;Husholdning;418080;631907
2025-12-23;NO2;Hytter og fritidseiendommer;79654;106623
2025-12-23;NO3;Husholdning;5764;409015
2025-12-23;NO3;Hytter og fritidseiendommer;3547;63048
2025-12-23;NO4;Husholdning;0;245305
2025-12-23;NO4;Hytter og fritidseiendommer;0;44649
2025-12-23;NO5;Husholdning;118260;259155
2025-12-23;NO5;Hytter og fritidseiendommer;32506;49287
2025-12-24;NO1;Husholdning;577024;1118803
2025-12-24;NO1;Hytter og fritidseiendommer;76314;110957
2025-12-24;NO2;Husholdning;418320;631908
2025-12-24;NO2;Hytter og fritidseiendommer;79684;106623
2025-12-24;NO3;Husholdning;5773;409014
2025-12-24;NO3;Hytter og fritidseiendommer;3550;63048
2025-12-24;NO4;Husholdning;0;245304
2025-12-24;NO4;Hytter og fritidseiendommer;0;44650
2025-12-24;NO5;Husholdning;118377;259157
2025-12-24;NO5;Hytter og fritidseiendommer;32525;49288
2025-12-25;NO1;Husholdning;577594;1118806
2025-12-25;NO1;Hytter og fritidseiendommer;76363;110956
2025-12-25;NO2;Husholdning;418625;631907
2025-12-25;NO2;Hytter og fritidseiendommer;79714;106622
2025-12-25;NO3;Husholdning;5777;409014
2025-12-25;NO3;Hytter og fritidseiendommer;3554;63049
2025-12-25;NO4;Husholdning;0;245305
2025-12-25;NO4;Hytter og fritidseiendommer;0;44650
2025-12-25;NO5;Husholdning;118557;259160
2025-12-25;NO5;Hytter og fritidseiendommer;32554;49288
2025-12-26;NO1;Husholdning;578156;1118810
2025-12-26;NO1;Hytter og fritidseiendommer;76417;110957
2025-12-26;NO2;Husholdning;418971;631935
2025-12-26;NO2;Hytter og fritidseiendommer;79748;106622
2025-12-26;NO3;Husholdning;5788;409021
2025-12-26;NO3;Hytter og fritidseiendommer;3560;63043
2025-12-26;NO4;Husholdning;0;245303
2025-12-26;NO4;Hytter og fritidseiendommer;0;44650
2025-12-26;NO5;Husholdning;118805;259162
2025-12-26;NO5;Hytter og fritidseiendommer;32583;49288
2025-12-27;NO1;Husholdning;578639;1118810
2025-12-27;NO1;Hytter og fritidseiendommer;76463;110957
2025-12-27;NO2;Husholdning;419254;631935
2025-12-27;NO2;Hytter og fritidseiendommer;79794;106622
2025-12-27;NO3;Husholdning;5798;409022
2025-12-27;NO3;Hytter og fritidseiendommer;3568;63042
2025-12-27;NO4;Husholdning;0;245302
2025-12-27;NO4;Hytter og fritidseiendommer;0;44650
2025-12-27;NO5;Husholdning;118979;259162
2025-12-27;NO5;Hytter og fritidseiendommer;32617;49288
2025-12-28;NO1;Husholdning;579223;1118810
2025-12-28;NO1;Hytter og fritidseiendommer;76500;110957
2025-12-28;NO2;Husholdning;419605;631935
2025-12-28;NO2;Hytter og fritidseiendommer;79835;106623
2025-12-28;NO3;Husholdning;5811;409021
2025-12-28;NO3;Hytter og fritidseiendommer;3574;63042
2025-12-28;NO4;Husholdning;0;245302
2025-12-28;NO4;Hytter og fritidseiendommer;0;44649
2025-12-28;NO5;Husholdning;119187;259162
2025-12-28;NO5;Hytter og fritidseiendommer;32667;49288
2025-12-29;NO1;Husholdning;580137;1118816
2025-12-29;NO1;Hytter og fritidseiendommer;76581;110957
2025-12-29;NO2;Husholdning;420129;631938
2025-12-29;NO2;Hytter og fritidseiendommer;79904;106625
2025-12-29;NO3;Husholdning;5884;409022
2025-12-29;NO3;Hytter og fritidseiendommer;3601;63043
2025-12-29;NO4;Husholdning;0;245302
2025-12-29;NO4;Hytter og fritidseiendommer;0;44649
2025-12-29;NO5;Husholdning;119500;259161
2025-12-29;NO5;Hytter og fritidseiendommer;32720;49288
2025-12-30;NO1;Husholdning;581369;1118801
2025-12-30;NO1;Hytter og fritidseiendommer;76678;110959
2025-12-30;NO2;Husholdning;420803;631944
2025-12-30;NO2;Hytter og fritidseiendommer;80005;106624
2025-12-30;NO3;Husholdning;6030;409021
2025-12-30;NO3;Hytter og fritidseiendommer;3665;63043
2025-12-30;NO4;Husholdning;0;245303
2025-12-30;NO4;Hytter og fritidseiendommer;0;44649
2025-12-30;NO5;Husholdning;120019;259160
2025-12-30;NO5;Hytter og fritidseiendommer;32787;49288
2025-12-31;NO1;Husholdning;582488;1118801
2025-12-31;NO1;Hytter og fritidseiendommer;76767;110960
2025-12-31;NO2;Husholdning;421369;631945
2025-12-31;NO2;Hytter og fritidseiendommer;80076;106625
2025-12-31;NO3;Husholdning;6142;409021
2025-12-31;NO3;Hytter og fritidseiendommer;3714;63043
2025-12-31;NO4;Husholdning;0;245302
2025-12-31;NO4;Hytter og fritidseiendommer;0;44648
2025-12-31;NO5;Husholdning;120491;259162
2025-12-31;NO5;Hytter og fritidseiendommer;32850;49288
2026-01-01;NO1;Husholdning;583334;1118897
2026-01-01;NO1;Hytter og fritidseiendommer;76835;110964
2026-01-01;NO2;Husholdning;421835;631984
2026-01-01;NO2;Hytter og fritidseiendommer;80126;106633
2026-01-01;NO3;Husholdning;6215;409039
2026-01-01;NO3;Hytter og fritidseiendommer;3739;63039
2026-01-01;NO4;Husholdning;0;245335
2026-01-01;NO4;Hytter og fritidseiendommer;0;44647
2026-01-01;NO5;Husholdning;120888;259188
2026-01-01;NO5;Hytter og fritidseiendommer;32892;49291
2026-01-02;NO1;Husholdning;584522;1118911
2026-01-02;NO1;Hytter og fritidseiendommer;76922;110964
2026-01-02;NO2;Husholdning;422638;631996
2026-01-02;NO2;Hytter og fritidseiendommer;80292;106634
2026-01-02;NO3;Husholdning;6348;409074
2026-01-02;NO3;Hytter og fritidseiendommer;3789;63037
2026-01-02;NO4;Husholdning;0;245376
2026-01-02;NO4;Hytter og fritidseiendommer;0;44642
2026-01-02;NO5;Husholdning;121404;259194
2026-01-02;NO5;Hytter og fritidseiendommer;32965;49289
2026-01-03;NO1;Husholdning;585457;1118918
2026-01-03;NO1;Hytter og fritidseiendommer;76982;110964
2026-01-03;NO2;Husholdning;423245;632005
2026-01-03;NO2;Hytter og fritidseiendommer;80366;106630
2026-01-03;NO3;Husholdning;6541;409080
2026-01-03;NO3;Hytter og fritidseiendommer;3861;63036
2026-01-03;NO4;Husholdning;0;245383
2026-01-03;NO4;Hytter og fritidseiendommer;0;44639
2026-01-03;NO5;Husholdning;121772;259195
2026-01-03;NO5;Hytter og fritidseiendommer;33015;49293
2026-01-04;NO1;Husholdning;586818;1118930
2026-01-04;NO1;Hytter og fritidseiendommer;77069;110963
2026-01-04;NO2;Husholdning;424031;632010
2026-01-04;NO2;Hytter og fritidseiendommer;80476;106631
2026-01-04;NO3;Husholdning;6949;409020
2026-01-04;NO3;Hytter og fritidseiendommer;4016;63015
2026-01-04;NO4;Husholdning;0;245386
2026-01-04;NO4;Hytter og fritidseiendommer;0;44636
2026-01-04;NO5;Husholdning;122361;259195
2026-01-04;NO5;Hytter og fritidseiendommer;33083;49292
2026-01-05;NO1;Husholdning;589424;1118902
2026-01-05;NO1;Hytter og fritidseiendommer;77237;110967
2026-01-05;NO2;Husholdning;425587;632036
2026-01-05;NO2;Hytter og fritidseiendommer;80656;106634
2026-01-05;NO3;Husholdning;7453;409055
2026-01-05;NO3;Hytter og fritidseiendommer;4226;63015
2026-01-05;NO4;Husholdning;0;245384
2026-01-05;NO4;Hytter og fritidseiendommer;0;44637
2026-01-05;NO5;Husholdning;123416;259201
2026-01-05;NO5;Hytter og fritidseiendommer;33236;49291
2026-01-06;NO1;Husholdning;592066;1118910
2026-01-06;NO1;Hytter og fritidseiendommer;77393;110966
2026-01-06;NO2;Husholdning;427227;632081
2026-01-06;NO2;Hytter og fritidseiendommer;80825;106636
2026-01-06;NO3;Husholdning;7793;409091
2026-01-06;NO3;Hytter og fritidseiendommer;4382;63014
2026-01-06;NO4;Husholdning;0;245390
2026-01-06;NO4;Hytter og fritidseiendommer;0;44638
2026-01-06;NO5;Husholdning;124397;259201
2026-01-06;NO5;Hytter og fritidseiendommer;33353;49292
2026-01-07;NO1;Husholdning;596007;1118927
2026-01-07;NO1;Hytter og fritidseiendommer;77635;110970
2026-01-07;NO2;Husholdning;429370;632092
2026-01-07;NO2;Hytter og fritidseiendommer;81062;106637
2026-01-07;NO3;Husholdning;8277;409112
2026-01-07;NO3;Hytter og fritidseiendommer;4553;63015
2026-01-07;NO4;Husholdning;0;245394
2026-01-07;NO4;Hytter og fritidseiendommer;0;44639
2026-01-07;NO5;Husholdning;125736;259210
2026-01-07;NO5;Hytter og fritidseiendommer;33499;49294
2026-01-08;NO1;Husholdning;599192;1118937
2026-01-08;NO1;Hytter og fritidseiendommer;77834;110975
2026-01-08;NO2;Husholdning;431172;632101
2026-01-08;NO2;Hytter og fritidseiendommer;81251;106639
2026-01-08;NO3;Husholdning;8521;409053
2026-01-08;NO3;Hytter og fritidseiendommer;4658;63005
2026-01-08;NO4;Husholdning;0;245342
2026-01-08;NO4;Hytter og fritidseiendommer;0;44636
2026-01-08;NO5;Husholdning;126812;259240
2026-01-08;NO5;Hytter og fritidseiendommer;33625;49296
2026-01-09;NO1;Husholdning;603069;1118994
2026-01-09;NO1;Hytter og fritidseiendommer;78042;110973
2026-01-09;NO2;Husholdning;432801;632122
2026-01-09;NO2;Hytter og fritidseiendommer;81416;106640
2026-01-09;NO3;Husholdning;8806;409084
2026-01-09;NO3;Hytter og fritidseiendommer;4748;63003
2026-01-09;NO4;Husholdning;0;245371
2026-01-09;NO4;Hytter og fritidseiendommer;0;44635
2026-01-09;NO5;Husholdning;128113;259250
2026-01-09;NO5;Hytter og fritidseiendommer;33765;49295
2026-01-10;NO1;Husholdning;608652;1119010
2026-01-10;NO1;Hytter og fritidseiendommer;78449;110973
2026-01-10;NO2;Husholdning;434829;632138
2026-01-10;NO2;Hytter og fritidseiendommer;81693;106637
2026-01-10;NO3;Husholdning;9266;409104
2026-01-10;NO3;Hytter og fritidseiendommer;4926;62998
2026-01-10;NO4;Husholdning;0;245399
2026-01-10;NO4;Hytter og fritidseiendommer;0;44635
2026-01-10;NO5;Husholdning;129723;259246
2026-01-10;NO5;Hytter og fritidseiendommer;33959;49294
2026-01-11;NO1;Husholdning;612610;1119018
2026-01-11;NO1;Hytter og fritidseiendommer;78683;110971
2026-01-11;NO2;Husholdning;436404;632144
2026-01-11;NO2;Hytter og fritidseiendommer;81866;106633
2026-01-11;NO3;Husholdning;9696;409113
2026-01-11;NO3;Hytter og fritidseiendommer;5061;62998
2026-01-11;NO4;Husholdning;0;245400
2026-01-11;NO4;Hytter og fritidseiendommer;0;44634
2026-01-11;NO5;Husholdning;130618;259253
2026-01-11;NO5;Hytter og fritidseiendommer;34094;49293
