start_date,Consumption,NoMeasured,Price,Zone,MeanTemp
2022-01-01 12:00:00+00:00,852310.703,240430,0.4416,NO4,-6.231303215026856
2022-01-01 12:00:00+00:00,546752.007,251668,1.19946,NO5,-9.98571491241455
2022-01-01 13:00:00+00:00,2729833.848,1065417,1.24401,NO1,0.1728303134441375
2022-01-01 13:00:00+00:00,1433651.709,598507,1.24401,NO2,-1.1420098543167114
2022-01-01 13:00:00+00:00,1009519.035,387295,0.42333,NO3,-7.479493141174316
2022-01-01 13:00:00+00:00,865673.412,240430,0.42333,NO4,-5.755189418792725
2022-01-01 13:00:00+00:00,552175.322,251668,1.24401,NO5,-10.085556983947754
2022-01-01 14:00:00+00:00,2788364.953,1065417,1.2475,NO1,0.1542155295610427
2022-01-01 14:00:00+00:00,1460760.005,598507,1.2475,NO2,-0.933759868144989
2022-01-01 14:00:00+00:00,1037463.153,387295,0.42043,NO3,-7.367191314697266
2022-01-01 14:00:00+00:00,879403.962,240430,0.42043,NO4,-5.171531677246094
2022-01-01 14:00:00+00:00,562078.461,251668,1.2475,NO5,-10.161194801330566
2022-01-01 15:00:00+00:00,2864621.074,1065417,1.35438,NO1,0.0447797216475009
2022-01-01 15:00:00+00:00,1495427.847,598507,1.35438,NO2,-0.7538952231407166
2022-01-01 15:00:00+00:00,1052100.28,387295,0.42253,NO3,-6.864779472351074
2022-01-01 15:00:00+00:00,884435.082,240430,0.42253,NO4,-4.520302772521973
2022-01-01 15:00:00+00:00,571611.563,251668,1.35438,NO5,-10.25073528289795
2022-01-01 16:00:00+00:00,2887347.163,1065417,1.49802,NO1,0.0166904963552951
2022-01-01 16:00:00+00:00,1501638.807,598507,1.49802,NO2,-0.6405435800552368
2022-01-01 16:00:00+00:00,1044632.291,387295,0.40545,NO3,-6.418214797973633
2022-01-01 16:00:00+00:00,880487.06,240430,0.40545,NO4,-3.912251234054565
2022-01-01 16:00:00+00:00,570832.467,251668,1.49802,NO5,-10.21607780456543
2022-01-01 17:00:00+00:00,2865535.217,1065417,1.50541,NO1,0.1076774150133133
2022-01-01 17:00:00+00:00,1487587.182,598507,1.50541,NO2,-0.492293506860733
2022-01-01 17:00:00+00:00,1026952.961,387295,0.40065,NO3,-5.879909515380859
2022-01-01 17:00:00+00:00,876117.404,240431,0.40065,NO4,-3.331538438796997
2022-01-01 17:00:00+00:00,561381.253,251668,1.50541,NO5,-10.19134521484375
2022-01-01 18:00:00+00:00,2793932.446,1065417,1.43649,NO1,0.3094632029533386
2022-01-01 18:00:00+00:00,1450307.857,598507,1.43649,NO2,-0.3038587868213653
2022-01-01 18:00:00+00:00,998786.873,387295,0.38477,NO3,-5.394278049468994
2022-01-01 18:00:00+00:00,867292.383,240430,0.38477,NO4,-2.8032588958740234
2022-01-01 18:00:00+00:00,551085.864,251668,1.43649,NO5,-10.211763381958008
2022-01-01 19:00:00+00:00,2709770.459,1065417,1.40203,NO1,1.1734256744384766
2022-01-01 19:00:00+00:00,1393652.192,598507,1.40203,NO2,0.0690750107169151
2022-01-01 19:00:00+00:00,971073.961,387295,0.34671,NO3,-4.401398658752441
2022-01-01 19:00:00+00:00,854251.764,240430,0.34671,NO4,-2.2689778804779053
2022-01-01 19:00:00+00:00,535301.942,251668,1.40203,NO5,-10.142075538635254
2022-01-01 20:00:00+00:00,2624289.603,1065417,1.39693,NO1,1.397684931755066
2022-01-01 20:00:00+00:00,1340900.542,598507,1.39693,NO2,0.2245051115751266
2022-01-01 20:00:00+00:00,938557.396,387295,0.32444,NO3,-3.94254994392395
2022-01-01 20:00:00+00:00,838731.696,240430,0.32444,NO4,-1.9226518869400024
2022-01-01 20:00:00+00:00,513594.334,251668,1.39693,NO5,-9.978018760681152
2022-01-01 21:00:00+00:00,2539761.216,1065417,1.34929,NO1,1.5297197103500366
2022-01-01 21:00:00+00:00,1294102.522,598507,1.34929,NO2,0.328955739736557
2022-01-01 21:00:00+00:00,903741.839,387295,0.32843,NO3,-3.650404930114746
2022-01-01 21:00:00+00:00,820650.195,240430,0.32843,NO4,-1.6412343978881836
2022-01-01 21:00:00+00:00,497298.696,251668,1.34929,NO5,-9.74797248840332
2022-01-01 22:00:00+00:00,2439175.809,1065417,1.23282,NO1,1.581776738166809
2022-01-01 22:00:00+00:00,1241658.913,598507,1.23282,NO2,0.4472938179969787
2022-01-01 22:00:00+00:00,864297.876,387295,0.32404,NO3,-3.4431166648864746
2022-01-01 22:00:00+00:00,801747.562,240430,0.32404,NO4,-1.395132303237915
2022-01-01 22:00:00+00:00,475133.804,251668,1.23282,NO5,-9.456698417663574
2022-01-01 23:00:00+00:00,2329291.648,1065430,1.13433,NO1,1.6455999612808228
2022-01-01 23:00:00+00:00,1183576.118,598516,1.13433,NO2,0.5153372883796692
2022-01-01 23:00:00+00:00,820097.159,387305,0.31994,NO3,-3.242865800857544
2022-01-01 23:00:00+00:00,780139.742,240435,0.31994,NO4,-1.277393102645874
2022-01-01 23:00:00+00:00,441781.266,251669,1.13433,NO5,-9.313941955566406
2022-01-02 00:00:00+00:00,2229550.639,1065430,1.11535,NO1,1.6763770580291748
2022-01-02 00:00:00+00:00,1130190.491,598516,1.11535,NO2,0.5480384826660156
2022-01-02 00:00:00+00:00,779790.952,387305,0.31744,NO3,-3.232730865478516
2022-01-02 00:00:00+00:00,759327.207,240435,0.31744,NO4,-1.230444073677063
2022-01-02 00:00:00+00:00,418458.499,251669,1.11535,NO5,-9.294862747192385
2022-01-02 01:00:00+00:00,2165126.534,1065430,1.06411,NO1,1.8161417245864868
2022-01-02 01:00:00+00:00,1094847.186,598516,1.06411,NO2,0.6760936379432678
2022-01-02 01:00:00+00:00,750526.768,387305,0.31764,NO3,-3.1455976963043213
2022-01-02 01:00:00+00:00,742223.982,240435,0.31764,NO4,-1.250436544418335
2022-01-02 01:00:00+00:00,404232.723,251669,1.06411,NO5,-9.266438484191896
2022-01-02 02:00:00+00:00,2134675.978,1065430,1.04383,NO1,2.0683343410491943
2022-01-02 02:00:00+00:00,1079053.814,598516,1.04383,NO2,0.7402253150939941
2022-01-02 02:00:00+00:00,737262.169,387305,0.31854,NO3,-3.099622964859009
2022-01-02 02:00:00+00:00,734487.386,240435,0.31854,NO4,-1.4351052045822144
